iter	Passed	Remaining
0	2	606
1	4	720
2	7	732
3	9	723
4	12	726
5	14	720
6	16	705
7	19	698
8	21	683
9	23	673
10	25	671
11	27	654
12	29	643
13	30	629
14	33	631
15	35	631
16	37	630
17	40	629
18	42	622
19	44	621
20	46	618
21	48	617
22	51	616
23	53	614
24	55	613
25	58	618
26	61	617
27	63	615
28	65	613
29	67	611
30	70	609
31	72	610
32	75	609
33	77	607
34	79	604
35	82	602
36	84	598
37	86	597
38	89	595
39	91	595
40	93	591
41	95	587
42	97	583
43	99	581
44	102	578
45	103	573
46	106	572
47	108	569
48	110	567
49	113	565
50	114	560
51	117	558
52	119	556
53	121	555
54	124	553
55	126	550
56	128	548
57	131	546
58	133	544
59	135	542
60	138	540
61	142	545
62	143	540
63	146	541
64	148	538
65	151	535
66	153	532
67	155	529
68	157	525
69	159	522
70	160	519
71	163	517
72	165	514
73	168	513
74	170	510
75	171	506
76	173	503
77	176	501
78	178	499
79	180	495
80	182	492
81	183	488
82	185	485
83	187	482
84	189	479
85	191	477
86	194	475
87	197	475
88	199	472
89	201	470
90	203	467
91	206	467
92	209	465
93	211	463
94	213	460
95	215	458
96	218	457
97	220	455
98	223	454
99	225	451
100	228	449
101	230	447
102	232	445
103	235	442
104	237	440
105	239	438
106	242	437
107	244	435
108	247	433
109	249	431
110	251	428
111	254	426
112	256	425
113	259	422
114	261	420
115	263	418
116	265	415
117	268	413
118	270	411
119	272	409
120	275	407
121	277	404
122	280	403
123	282	400
124	284	398
125	286	395
126	288	393
127	290	390
128	293	388
129	295	386
130	299	386
131	301	383
132	304	381
133	306	379
134	308	377
135	310	374
136	312	372
137	314	369
138	316	366
139	319	364
140	321	362
141	323	360
142	325	357
143	327	354
144	329	352
145	331	349
146	333	346
147	335	344
148	336	341
149	338	338
150	340	335
151	342	333
152	344	330
153	345	327
154	347	325
155	349	322
156	352	320
157	354	318
158	356	316
159	358	313
160	361	311
161	363	309
162	366	308
163	369	306
164	371	303
165	373	301
166	375	298
167	378	297
168	380	295
169	382	292
170	385	290
171	387	288
172	389	285
173	391	283
174	394	281
175	396	279
176	398	277
177	401	275
178	403	272
179	405	270
180	408	268
181	410	266
182	412	263
183	415	261
184	417	259
185	419	257
186	421	254
187	423	252
188	425	250
189	428	248
190	430	245
191	433	243
192	436	242
193	438	239
194	441	237
195	443	235
196	445	232
197	447	230
198	450	228
199	452	226
200	454	223
201	456	221
202	458	219
203	460	216
204	462	214
205	464	211
206	465	209
207	467	206
208	470	204
209	471	202
210	473	199
211	475	197
212	478	195
213	480	193
214	482	190
215	485	188
216	487	186
217	489	184
218	492	182
219	494	179
220	497	177
221	499	175
222	501	173
223	503	170
224	505	168
225	508	166
226	510	164
227	512	161
228	515	159
229	517	157
230	519	155
231	521	152
232	524	150
233	526	148
234	528	146
235	531	144
236	533	141
237	535	139
238	538	137
239	540	135
240	542	132
241	545	130
242	547	128
243	550	126
244	552	123
245	554	121
246	556	119
247	561	117
248	563	115
249	566	113
250	568	110
251	570	108
252	573	106
253	575	104
254	577	101
255	579	99
256	582	97
257	584	95
258	587	92
259	589	90
260	599	89
261	601	87
262	603	84
263	606	82
264	608	80
265	610	77
266	612	75
267	613	73
268	615	70
269	617	68
270	620	66
271	622	64
272	625	61
273	627	59
274	629	57
275	631	54
276	634	52
277	636	50
278	638	48
279	640	45
280	643	43
281	645	41
282	647	38
283	650	36
284	652	34
285	655	32
286	657	29
287	659	27
288	661	25
289	664	22
290	666	20
291	668	18
292	671	16
293	673	13
294	675	11
295	678	9
296	680	6
297	682	4
298	684	2
299	686	0
